Fecha,Hora,period eating,period other,period resting,period rumination
2024-01-01,0,0.433,0.0,0.567,0.0
2024-01-01,1,0.0,0.0,0.495,0.505
2024-01-01,2,0.0,0.0,0.944,0.056
2024-01-01,3,0.0,0.0,0.498,0.502
2024-01-01,4,0.0,0.0,0.567,0.433
2024-01-01,5,0.079,0.0,0.921,0.0
2024-01-01,6,0.115,0.0,0.61,0.275
2024-01-01,7,1.0,0.0,0.0,0.0
2024-01-01,8,0.961,0.039,0.0,0.0
2024-01-01,9,1.0,0.0,0.0,0.0
2024-01-01,10,1.0,0.0,0.0,0.0
2024-01-01,11,0.134,0.0,0.157,0.708
2024-01-01,12,0.174,0.0,0.59,0.236
2024-01-01,13,1.0,0.0,0.0,0.0
2024-01-01,14,0.833,0.157,0.01,0.0
2024-01-01,15,0.0,0.0,0.187,0.813
2024-01-01,16,0.357,0.079,0.433,0.131
2024-01-01,17,1.0,0.0,0.0,0.0
2024-01-01,18,0.728,0.193,0.079,0.0
2024-01-01,19,0.0,0.082,0.197,0.721
2024-01-01,20,0.0,0.0,0.551,0.449
2024-01-01,21,0.0,0.0,0.708,0.292
2024-01-01,22,0.0,0.0,0.377,0.623
2024-01-01,23,0.0,0.0,0.41,0.59
2024-01-02,0,0.0,0.0,0.725,0.275
2024-01-02,1,0.039,0.0,0.692,0.269
2024-01-02,2,0.0,0.0,0.718,0.282
2024-01-02,3,0.0,0.0,0.449,0.551
2024-01-02,4,0.0,0.0,0.879,0.121
2024-01-02,5,0.197,0.0,0.256,0.548
2024-01-02,6,0.0,0.0,1.0,0.0
2024-01-02,7,0.957,0.0,0.043,0.0
2024-01-02,8,1.0,0.0,0.0,0.0
2024-01-02,9,0.921,0.0,0.079,0.0
2024-01-02,10,0.662,0.0,0.079,0.259
2024-01-02,11,0.0,0.0,0.315,0.685
2024-01-02,12,0.764,0.0,0.236,0.0
2024-01-02,13,0.613,0.236,0.151,0.0
2024-01-02,14,0.0,0.0,0.243,0.757
2024-01-02,15,0.892,0.039,0.0,0.069
2024-01-02,16,1.0,0.0,0.0,0.0
2024-01-02,17,0.961,0.039,0.0,0.0
2024-01-02,18,0.374,0.236,0.315,0.075
2024-01-02,19,0.0,0.0,0.0,1.0
2024-01-02,20,0.236,0.0,0.551,0.213
2024-01-02,21,0.0,0.0,0.557,0.443
2024-01-02,22,0.0,0.0,0.056,0.944
2024-01-02,23,0.0,0.0,1.0,0.0
2024-01-03,0,0.236,0.0,0.331,0.433
2024-01-03,1,0.315,0.0,0.495,0.19
2024-01-03,2,0.0,0.0,0.521,0.479
2024-01-03,3,0.0,0.0,0.331,0.669
2024-01-03,4,0.0,0.0,0.879,0.121
2024-01-03,5,0.079,0.079,0.295,0.548
2024-01-03,6,0.0,0.0,0.413,0.587
2024-01-03,7,0.446,0.0,0.511,0.043
2024-01-03,8,1.0,0.0,0.0,0.0
2024-01-03,9,0.843,0.0,0.157,0.0
2024-01-03,10,0.269,0.0,0.157,0.574
2024-01-03,11,0.826,0.0,0.118,0.056
2024-01-03,12,0.826,0.174,0.0,0.0
2024-01-03,13,0.0,0.495,0.505,0.0
2024-01-03,14,0.0,0.0,0.164,0.836
2024-01-03,15,0.852,0.0,0.0,0.148
2024-01-03,16,1.0,0.0,0.0,0.0
2024-01-03,17,0.98,0.0,0.02,0.0
2024-01-03,18,0.0,0.118,0.256,0.626
2024-01-03,19,0.0,0.0,0.433,0.567
2024-01-03,20,0.0,0.0,0.433,0.567
2024-01-03,21,0.354,0.0,0.046,0.6
2024-01-03,22,0.0,0.0,0.426,0.574
2024-01-03,23,0.0,0.0,0.511,0.489
2024-01-04,0,0.0,0.0,0.039,0.961
2024-01-04,1,0.0,0.0,0.866,0.134
2024-01-04,2,0.0,0.0,0.0,1.0
2024-01-04,3,0.472,0.0,0.315,0.213
2024-01-04,4,0.0,0.0,0.436,0.564
2024-01-04,5,0.157,0.0,0.39,0.452
2024-01-04,6,0.0,0.0,0.705,0.295
2024-01-04,7,0.761,0.0,0.239,0.0
2024-01-04,8,1.0,0.0,0.0,0.0
2024-01-04,9,0.875,0.0,0.125,0.0
2024-01-04,10,0.472,0.0,0.308,0.22
2024-01-04,11,0.551,0.0,0.354,0.095
2024-01-04,12,0.197,0.0,0.197,0.607
2024-01-04,13,0.197,0.0,0.354,0.449
2024-01-04,14,0.039,0.0,0.393,0.567
2024-01-04,15,0.538,0.039,0.0,0.423
2024-01-04,16,1.0,0.0,0.0,0.0
2024-01-04,17,0.882,0.0,0.118,0.0
2024-01-04,18,0.295,0.0,0.157,0.548
2024-01-04,19,0.0,0.0,0.0,1.0
2024-01-04,20,0.0,0.0,0.502,0.498
2024-01-04,21,0.0,0.0,0.246,0.754
2024-01-04,22,0.0,0.0,0.551,0.449
2024-01-04,23,0.0,0.0,0.393,0.607
2024-01-05,0,0.0,0.0,0.0,1.0
2024-01-05,1,0.0,0.0,0.938,0.062
2024-01-05,2,0.079,0.0,0.331,0.59
2024-01-05,3,0.0,0.0,0.266,0.734
2024-01-05,4,0.0,0.0,0.59,0.41
2024-01-05,5,0.118,0.0,0.452,0.43
2024-01-05,6,0.0,0.0,0.61,0.39
2024-01-05,7,0.761,0.0,0.079,0.161
2024-01-05,8,1.0,0.0,0.0,0.0
2024-01-05,9,0.489,0.472,0.039,0.0
2024-01-05,10,0.662,0.0,0.315,0.023
2024-01-05,11,0.0,0.0,0.236,0.764
2024-01-05,12,0.567,0.039,0.275,0.118
2024-01-05,13,0.456,0.0,0.236,0.308
2024-01-05,14,0.01,0.0,0.393,0.597
2024-01-05,15,0.961,0.039,0.0,0.0
2024-01-05,16,0.961,0.039,0.0,0.0
2024-01-05,17,0.705,0.157,0.138,0.0
2024-01-05,18,0.0,0.0,0.528,0.472
2024-01-05,19,0.0,0.0,0.239,0.761
2024-01-05,20,0.0,0.0,0.62,0.38
2024-01-05,21,0.0,0.0,0.134,0.866
2024-01-05,22,0.0,0.0,0.584,0.416
2024-01-05,23,0.0,0.0,0.551,0.449
2024-01-06,0,0.646,0.0,0.079,0.275
2024-01-06,1,0.652,0.0,0.348,0.0
2024-01-06,2,0.0,0.0,0.449,0.551
2024-01-06,3,0.0,0.0,0.698,0.302
2024-01-06,4,0.0,0.0,0.279,0.721
2024-01-06,5,0.0,0.0,0.744,0.256
2024-01-06,6,0.118,0.0,0.862,0.02
2024-01-06,7,0.407,0.0,0.161,0.433
2024-01-06,8,0.961,0.039,0.0,0.0
2024-01-06,9,0.443,0.039,0.433,0.085
2024-01-06,10,0.692,0.0,0.197,0.111
2024-01-06,11,1.0,0.0,0.0,0.0
2024-01-06,12,0.551,0.0,0.292,0.157
2024-01-06,13,0.079,0.315,0.174,0.433
2024-01-06,14,0.118,0.0,0.715,0.167
2024-01-06,15,0.787,0.144,0.0,0.069
2024-01-06,16,0.948,0.052,0.0,0.0
