Fecha,Hora,period eating,period other,period resting,period rumination
2024-01-01,0,0.0,0.0,0.882,0.118
2024-01-01,1,0.0,0.0,0.102,0.898
2024-01-01,2,0.0,0.0,0.482,0.518
2024-01-01,3,0.0,0.0,0.58,0.42
2024-01-01,4,0.0,0.0,0.669,0.331
2024-01-01,5,0.079,0.079,0.689,0.154
2024-01-01,6,0.036,0.0,0.767,0.197
2024-01-01,7,0.908,0.092,0.0,0.0
2024-01-01,8,0.974,0.026,0.0,0.0
2024-01-01,9,1.0,0.0,0.0,0.0
2024-01-01,10,1.0,0.0,0.0,0.0
2024-01-01,11,0.213,0.0,0.787,0.0
2024-01-01,12,0.174,0.0,0.275,0.551
2024-01-01,13,1.0,0.0,0.0,0.0
2024-01-01,14,0.921,0.079,0.0,0.0
2024-01-01,15,0.03,0.0,0.354,0.616
2024-01-01,16,0.315,0.082,0.079,0.525
2024-01-01,17,0.964,0.036,0.0,0.0
2024-01-01,18,0.728,0.079,0.118,0.075
2024-01-01,19,0.0,0.0,0.131,0.869
2024-01-01,20,0.0,0.0,1.0,0.0
2024-01-01,21,0.046,0.0,0.521,0.433
2024-01-01,22,0.78,0.0,0.0,0.22
2024-01-01,23,0.236,0.0,0.039,0.725
2024-01-02,0,0.354,0.0,0.315,0.331
2024-01-02,1,0.0,0.0,0.426,0.574
2024-01-02,2,0.0,0.0,1.0,0.0
2024-01-02,3,0.0,0.0,0.502,0.498
2024-01-02,4,0.0,0.0,0.751,0.249
2024-01-02,5,0.197,0.039,0.331,0.433
2024-01-02,6,0.0,0.0,0.764,0.236
2024-01-02,7,0.8,0.0,0.043,0.157
2024-01-02,8,0.882,0.118,0.0,0.0
2024-01-02,9,0.836,0.0,0.157,0.007
2024-01-02,10,0.0,0.0,0.22,0.78
2024-01-02,11,0.0,0.0,1.0,0.0
2024-01-02,12,0.646,0.0,0.354,0.0
2024-01-02,13,0.613,0.197,0.19,0.0
2024-01-02,14,0.0,0.0,0.685,0.315
2024-01-02,15,0.616,0.236,0.108,0.039
2024-01-02,16,0.961,0.039,0.0,0.0
2024-01-02,17,0.921,0.079,0.0,0.0
2024-01-02,18,0.767,0.039,0.079,0.115
2024-01-02,19,0.0,0.0,0.197,0.803
2024-01-02,20,0.0,0.0,0.384,0.616
